image_path,image_width,image_height,account_followers,account_revenue_per_post,account_name,account_ranking_most_earning,account_category,image_likes,image_comments,account_person_age,account_person_gender,image_upload_date,image_Advertisement,image_Nudity,image_Human_Focus,image_Body_Visible,image_Background
072_kyliejenner65.jpg,720,900,110000000,1000000,kyliejenner,1,Celebrity,2000000,55200,22,1,2019-01-28,1,2,5,5,artificial
064_kimkardashian74.jpg,1080,1350,113000000,720000,kimkardashian,4,Celebrity,2100000,20400,39,1,2019-01-28,1,1,5,2,unclear
069_anllela_sagra52.jpg,1080,1349,10500000,16600,anllela_sagra,35,Fitness,519200,4116,26,1,2018-08-31,1,4,5,5,inside
099_jamescharles58.jpg,1080,1350,5900000,9750,jamescharles,46,Beauty,2100000,19900,20,0,2019-02-06,1,1,4,3,inside
086_graoficial57.jpg,1002,1252,6300000,10000,graoficial,45,Fitness,206200,3804,36,1,2019-02-24,1,4,5,5,artificial
082_garethbale1146.jpg,1080,1080,34900000,185000,garethbale11,13,Sport,556800,2036,30,0,2018-12-16,1,1,5,4,city_or_street
054_virat.kohli100.jpg,960,960,22500000,120000,virat.kohli,17,Sport,1700000,7856,31,0,2018-11-25,1,1,5,3,inside
073_fedez80.jpg,1080,1350,5800000,8500,fedez,52,Fashion,659600,2096,30,0,2019-01-21,1,1,5,5,inside
096_doyoutravel105.jpg,1080,1350,2800000,8250,doyoutravel,53,Travel,114400,749,29,0,2019-01-26,1,4,3,5,in_nature
105_camilacoelho8.jpg,1080,1295,7200000,10750,camilacoelho,42,Fashion,104500,551,31,1,2019-03-10,3,1,5,4,part_nature
067_zachking28.jpg,720,720,21500000,30000,zachking,22,Influencer,1400000,10000,29,0,2017-11-15,1,1,4,2,inside
104_zoella48.jpg,1080,1080,10700000,16000,zoella,37,"Beauty, Influencer",63700,660,29,1,2019-03-09,1,1,5,3,city_or_street
102_sommerray101.jpg,1080,1166,18700000,29000,sommerray,23,"Fitness, Influencer",706500,6210,23,1,2019-03-02,1,2,5,4,part_nature
080_cristiano32.jpg,1080,884,133000000,750000,cristiano,3,"Celebrity, Sport",5800000,27600,34,0,2019-01-19,1,1,5,3,inside
057_zachking34.jpg,720,875,21500000,30000,zachking,22,Influencer,1300000,10900,29,0,2017-07-14,2,2,5,2,unclear
080_alexstrohl85.jpg,1080,1350,1900000,5750,alexstrohl,59,Travel,51300,295,30,0,2018-12-26,1,1,3,4,in_nature
102_yolanda_gampp71.jpg,720,720,2800000,3500,yolanda_gampp,68,Food,35200,133,35,1,2019-03-10,3,1,2,2,inside
065_ulissesworld107.jpg,1080,1350,5100000,8200,ulissesworld,54,Fitness,48100,180,43,0,2019-02-22,5,3,5,4,city_or_street
081_garethbale1199.jpg,1080,752,34900000,185000,garethbale11,13,Sport,659600,2164,30,0,2018-12-09,3,1,5,5,part_nature
